y,m,d,Prec,Pa_kPa,Rhu_percent,Sun_h,TemAir_mean,TemAir_max,TemAir_min,Wv_ms
1967,8,16,0.2,67.14,75,9.4,8.6,16.4,0.7,0.3
1967,8,17,1,66.83,74,9.4,10.6,18.4,3.9,1.7
1967,8,18,0,66.59,80,7.1,12.1,20.8,6.5,2
1967,8,19,1.3,66.81,79,5,13.2,19.7,9.1,1.3
1967,8,20,17.5,67.01,88,3.2,11.2,16.1,7.4,1.3
1967,8,21,1.6,66.89,85,6.9,12.8,18.5,9,2
1967,8,22,1,66.71,81,4.7,13.3,18.3,9.8,1
1967,8,23,6.6,66.88,85,3.5,10.9,17.2,8,3.3
1967,8,24,1.6,66.58,82,6.1,12.5,19.5,7.3,1.7
1967,8,25,0,66.66,77,4.9,14,19.5,10.2,2.3
1967,8,26,0.3,66.88,77,7.7,14.1,20.3,10.8,2
1967,8,27,9.8,66.97,86,1.7,12,16.9,9.9,3.3
1967,8,28,4.3,66.91,84,1.8,11.6,16.5,9.1,3
1967,8,29,34.1,66.99,88,2.2,11,17.9,7.4,2.3
1967,8,30,12.5,66.98,85,7.8,11.5,17.5,7.6,1.3
1967,8,31,28.5,66.84,83,7.7,10.7,19,5.8,3.3
1967,9,1,7,66.81,86,2.7,11.8,17.8,8.4,1.7
1967,9,2,18.9,66.8,84,6.7,11,17.8,6.5,1.7
1967,9,3,18.8,66.92,87,2.5,10.9,15.8,7.7,0.7
1967,9,4,17.2,67.05,91,0.3,10.2,15.3,7.2,2.3
1967,9,5,5,67.11,88,1.6,10.8,16.8,7.1,2
1967,9,6,30.2,67.07,93,0.4,9.3,14.4,8.3,2.7
1967,9,7,0.1,67.25,79,11.3,8.3,16.5,0.8,2.7
1967,9,8,0,66.94,78,7.9,8.5,17.4,-0.5,2
1967,9,9,4.8,67.19,77,4.5,7.5,13.2,4.4,1.7
1967,9,10,0.2,67.12,80,8.8,7.4,14.4,2.1,3.7
1967,9,11,1.1,67.04,84,3.6,6.2,13.2,1.4,2.3
1967,9,12,9.9,66.98,83,3.1,4.7,11.4,0.6,3.3
1967,9,13,0.2,67.08,59,11.3,3.6,10.3,-2.3,4.7
1967,9,14,0,66.98,50,11.9,3.5,14.9,-7,3
1967,9,15,3.8,66.94,83,3.6,3.6,8.8,0.1,1
1967,9,16,1,66.89,84,7.2,6,11.7,0.6,1.3
1967,9,17,2.4,66.56,80,4.2,7.4,13,3.4,3
1967,9,18,7.5,66.93,68,7.2,5.1,10.3,0.4,3.7
1967,9,19,0,66.94,64,11.3,3.7,14.6,-5.3,2.7
1967,9,20,0.4,67.02,80,1.3,5.5,11.1,2.1,2
1967,9,21,0.8,67.06,84,3.6,4.3,10.3,1.3,1.7
1967,9,22,0.3,67.13,66,11.4,3.6,12.2,-3.9,5.7
1967,9,23,0.1,66.97,73,7.8,2.3,11.3,-6.5,2
1967,9,24,3.7,67.1,62,11,5.8,13.3,-0.2,5.7
1967,9,25,0,67.16,63,9.8,4.2,14.3,-5.3,2.3
1967,9,26,2,66.71,74,7.4,5.5,14.3,-1.9,3
1967,9,27,5.2,66.91,78,4.2,6.2,10.8,2.4,2
1967,9,28,1.1,66.65,79,5.3,6.8,13.8,2.2,4.7
1967,9,29,1.4,66.85,81,6.8,6.1,12.6,0.7,3
1967,9,30,12.6,67.12,82,0,2.1,6.8,0,2
1967,10,1,1,67.23,84,0.4,2.3,6.6,-0.9,0.3
1967,10,2,1,67.14,80,5.7,2.9,8.4,-3.5,1
1967,10,3,0.6,67.04,80,2.2,3.8,8.3,-0.8,1.3
1967,10,4,0.1,67.16,78,6.8,4.1,9.8,-1.5,1.3
1967,10,5,1,67.05,74,10.1,6.5,13.9,0.9,1.7
1967,10,6,6.5,66.99,82,0.8,5.1,8.9,1.5,2.7
1967,10,7,0.1,67.03,85,2.7,3.3,7.9,0.6,1
1967,10,8,1.8,66.93,81,5.3,4.3,11.9,0,4.3
1967,10,9,3.1,66.84,77,4.1,5.6,11.5,0.2,1
1967,10,10,2.6,66.67,81,4.7,5.1,10.6,1.6,1.7
1967,10,11,3.2,66.8,82,2.1,1.7,4.9,-1.2,1.3
1967,10,12,6.8,66.59,89,1.1,1.3,3.5,-0.2,3.7
1967,10,13,0.6,66.95,76,0,-1.1,1.2,-3.6,2
1967,10,14,6.2,67.04,89,0,-2.1,1.5,-4.6,1.3
1967,10,15,3.3,67.1,68,10.4,-1.8,4.8,-8.3,2.7
1967,10,16,0,66.98,58,10.8,-1.5,8.7,-9.7,1.3
1967,10,17,0,66.99,69,10.6,-1,7.7,-7.6,2.3
1967,10,18,0,67.2,80,1.7,-0.6,4.9,-5,0.3
1967,10,19,1,67.26,71,3.6,2.4,8.2,0,2.3
1967,10,20,0.9,67.27,80,3.9,0.6,4.7,-1.2,4
1967,10,21,2.2,67.15,81,0.1,-1,2.5,-3.3,1.7
1967,10,22,0.1,66.86,73,8.3,0.7,7.9,-3.2,3.3
1967,10,23,0,67.11,57,9.8,-1.8,7.4,-9.6,3.3
1967,10,24,0,67.12,59,6,-1.4,6.8,-7.5,1.7
1967,10,25,0,67.31,57,10.5,-0.8,9.8,-9.7,2
1967,10,26,0,67.28,57,10.1,-0.4,9.9,-10.3,2.7
1967,10,27,0.1,67.07,75,8.8,0.8,10.3,-7.7,2.7
1967,10,28,1.9,66.97,90,2.6,0.2,4.9,-2.1,1
1967,10,29,0,66.9,76,6,0.5,7.9,-4.4,2.3
1967,10,30,1,66.72,66,3,0.5,6.2,-4.8,2.3
1967,10,31,1,66.77,50,8,-3,7,-12.2,2
1967,11,1,1,66.91,61,8.3,-2.3,5.7,-7.9,4.3
1967,11,2,1,66.88,73,2.6,-4.6,1.7,-10.8,2
1967,11,3,2.3,66.85,89,2.7,-4.8,-1.6,-6,0.7
1967,11,4,0.1,67.02,55,9.9,-5.5,2.2,-10.8,4.3
1967,11,5,0,66.84,55,9.9,-5.4,6.6,-13.8,2.7
1967,11,6,0,66.52,57,8.1,-3.4,7.5,-11.3,1.7
1967,11,7,1,66.72,51,9.5,-1.4,7.7,-9.4,2
1967,11,8,0.3,66.61,69,8.6,-2.9,7,-10.8,1.3
1967,11,9,0,66.51,62,6.5,-0.4,5.9,-6.7,1
1967,11,10,0.1,66.45,72,5.3,-1.7,6.5,-7,3
1967,11,11,0,67.09,45,4.9,-5.1,-0.9,-7.5,3.3
1967,11,12,2,66.78,79,6.8,-7.2,-2.7,-10.7,2
1967,11,13,0.9,66.78,69,2.8,-5.7,-1.8,-9,3
1967,11,14,1,66.84,65,5.6,-6.1,-1.2,-9.1,1.3
1967,11,15,0,66.69,56,9.9,-5.2,2.5,-12.2,4
1967,11,16,0,66.7,58,9.9,-7.5,5.8,-15.1,0.3
1967,11,17,0,66.53,55,9.7,-4.6,5.5,-12.8,0.7
1967,11,18,1,66.59,61,8.6,-4.7,2.6,-12.2,3
1967,11,19,0,66.66,56,9.8,-5.5,4.4,-14.3,0.3
1967,11,20,1,66.68,55,7.9,-3.2,5.8,-11.1,1.3
1967,11,21,0,66.68,53,9.1,-5.2,4.6,-12.5,2.3
1967,11,22,0,66.58,50,9.7,-7.3,4.4,-16.2,2
1967,11,23,0,66.39,53,8.9,-2.8,6.6,-12.8,0.7
1967,11,24,1,66.34,56,8,-2.7,5.6,-11.4,1.3
1967,11,25,1.8,66.38,79,5,-3,4.1,-5.6,2.3
1967,11,26,1.6,66.38,80,8.4,-5.4,-2,-9.1,1.3
1967,11,27,0.3,66.12,78,4.9,-4.9,2.1,-10.9,2.7
1967,11,28,0.3,66.26,66,5,-9.8,-3.9,-15.5,4
1967,11,29,0,66.61,42,8.9,-11.4,-4.5,-18.8,2.3
1967,11,30,0,66.43,53,7.9,-11.8,-2.7,-19,0.7
1967,12,1,0,66.51,64,7.1,-11,-1.1,-18.5,2
1967,12,2,0,66.63,50,9.7,-10.2,1.6,-19.3,2.7
1967,12,3,0,66.34,41,8.7,-6.8,5.4,-17.6,1.3
1967,12,4,0,66.24,56,6.9,-6.1,3.2,-15.4,1.7
1967,12,5,1,66.4,55,7.1,-6.3,3,-11.7,6.3
1967,12,6,0,66.7,37,9.6,-8.1,0.5,-16.8,5
1967,12,7,0,66.71,31,9.5,-9.3,-0.5,-16,4.7
1967,12,8,0,66.35,45,8.2,-10.3,0.5,-19.9,3
