#ID	T_SAND	T_SILT	T_CLAY	T_USDA_TEX_CLASS	T_OC	S_SAND	S_SILT	S_CLAY	S_USDA_TEX_CLASS	S_OC
11418	35	33	32	5	39.4	52	23	25	10	38.46
11419	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
11420	17	29	54	3	4.54	22	25	53	3	1.23
11421	42	38	20	9	1.45	45	35	20	9	0.5
11422	77	14	9	11	0.7	67	16	17	11	0.4
11423	45	36	19	9	1	39	34	27	5	0.47
11424	37	40	23	9	1.07	36	36	28	5	0.37
11425	77	14	9	11	0.7	67	16	17	11	0.4
11426	42	36	22	9	1	41	34	25	9	0.37
11427	75	15	10	11	0.7	68	17	15	11	0.27
11428	41	37	22	9	0.74	37	34	29	5	0.36
11429	37	44	19	9	2.13	-99	-99	-99	-99	-99
11430	77	14	9	11	0.7	67	16	17	11	0.4
11431	41	37	22	9	0.74	37	34	29	5	0.36
11432	47	29	24	9	0.83	39	27	34	5	0.28
11433	75	15	10	11	0.7	68	17	15	11	0.27
11434	42	36	22	9	1	41	34	25	9	0.37
11435	41	37	22	9	0.74	37	34	29	5	0.36
11436	42	38	20	9	1.45	45	35	20	9	0.5
11437	42	34	24	9	1.61	-99	-99	-99	-99	-99
11438	77	14	9	11	0.7	67	16	17	11	0.4
11439	89	6	5	13	0.5	89	6	5	13	0.3
11440	78	13	9	11	0.57	64	13	23	10	0.3
11441	82	8	10	12	0.4	75	8	17	11	0.24
11442	75	15	10	11	0.7	68	17	15	11	0.27
11443	80	10	10	12	0.55	65	13	22	10	0.26
11444	77	14	9	11	0.7	67	16	17	11	0.4
11445	76	16	8	11	1.93	-99	-99	-99	-99	-99
11446	82	8	10	12	0.4	75	8	17	11	0.24
11447	85	8	7	12	0.49	84	9	7	12	0.4
11448	42	36	22	9	1	41	34	25	9	0.37
11449	19	32	49	3	1.41	18	31	51	3	0.49
11450	23	29	48	3	1.17	26	29	45	3	0.58
11451	37	44	19	9	2.13	-99	-99	-99	-99	-99
11452	44	35	21	9	0.75	40	35	25	9	0.47
11453	42	36	22	9	1	41	34	25	9	0.37
11454	37	44	19	9	0.99	31	38	31	5	0.29
11455	41	37	22	9	0.74	37	34	29	5	0.36
11456	42	36	22	9	1	41	34	25	9	0.37
11457	41	37	22	9	0.74	37	34	29	5	0.36
11458	45	36	19	9	1	39	34	27	5	0.47
11459	41	40	19	9	1.3	44	37	19	9	0.44
11460	42	36	22	9	1	41	34	25	9	0.37
11461	19	32	49	3	1.19	21	32	47	3	0.55
11462	42	38	20	9	1.45	45	35	20	9	0.5
11463	41	37	22	9	0.74	37	34	29	5	0.36
11464	47	29	24	9	0.83	39	27	34	5	0.28
11465	49	31	20	9	2.4	-99	-99	-99	-99	-99
11466	85	8	7	12	0.49	84	9	7	12	0.4
11467	42	38	20	9	1.45	45	35	20	9	0.5
11468	42	36	22	9	1	41	34	25	9	0.37
11469	45	36	19	9	1	39	34	27	5	0.47
11470	42	38	20	9	1.45	45	35	20	9	0.5
11471	40	39	21	9	1.17	41	34	25	9	0.4
11472	75	15	10	11	0.7	68	17	15	11	0.27
11473	17	32	51	3	1.25	19	29	52	3	0.45
11474	77	14	9	11	0.7	67	16	17	11	0.4
11475	75	15	10	11	0.7	68	17	15	11	0.27
11476	45	36	19	9	1	39	34	27	5	0.47
11477	87	9	4	12	2.18	88	8	4	13	0.39
11478	42	38	20	9	1.45	45	35	20	9	0.5
11479	42	38	20	9	1.45	45	35	20	9	0.5
11480	42	36	22	9	1	41	34	25	9	0.37
11481	45	36	19	9	1	39	34	27	5	0.47
11482	42	38	20	9	1.45	45	35	20	9	0.5
11483	42	36	22	9	1	41	34	25	9	0.37
11484	45	52	3	7	4.6	51	45	4	11	0.81
11485	49	31	20	9	2.4	-99	-99	-99	-99	-99
11486	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
11487	42	38	20	9	1.45	45	35	20	9	0.5
11488	42	38	20	9	1.45	45	35	20	9	0.5
11489	45	52	3	7	4.6	51	45	4	11	0.81
11490	40	39	21	9	1.17	41	34	25	9	0.4
11491	49	31	20	9	2.4	-99	-99	-99	-99	-99
11492	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
11493	75	15	10	11	0.7	68	17	15	11	0.27
11494	86	8	6	12	2.02	86	6	8	12	0.51
11495	86	9	5	12	0.7	82	11	7	12	0.3
11496	75	15	10	11	0.7	68	17	15	11	0.27
11497	89	6	5	13	0.5	89	6	5	13	0.3
11498	77	14	9	11	0.7	67	16	17	11	0.4
11499	87	9	4	12	2.18	88	8	4	13	0.39
11500	75	15	10	11	0.7	68	17	15	11	0.27
11501	82	8	10	12	0.4	75	8	17	11	0.24
11502	19	32	49	3	1.41	18	31	51	3	0.49
11503	31	22	47	3	1.2	27	20	53	3	0.59
11504	22	24	54	3	1.13	34	22	44	3	0.36
11505	23	29	48	3	1.17	26	29	45	3	0.58
11506	19	32	49	3	1.41	18	31	51	3	0.49
11507	22	24	54	3	1.13	34	22	44	3	0.36
11508	23	29	48	3	1.17	26	29	45	3	0.58
11509	17	32	51	3	1.25	19	29	52	3	0.45
11510	37	44	19	9	0.99	31	38	31	5	0.29
11511	19	32	49	3	1.41	18	31	51	3	0.49
11512	41	40	19	9	1.3	44	37	19	9	0.44
11513	42	36	22	9	1	41	34	25	9	0.37
11514	37	40	23	9	1.07	36	36	28	5	0.37
11515	41	37	22	9	0.74	37	34	29	5	0.36
11516	39	39	22	9	1.65	37	35	28	5	0.69
11517	45	36	19	9	1	39	34	27	5	0.47
11518	37	40	23	9	1.07	36	36	28	5	0.37
11519	42	36	22	9	1	41	34	25	9	0.37
11520	45	36	19	9	1	39	34	27	5	0.47
11521	37	44	19	9	0.99	31	38	31	5	0.29
11522	77	14	9	11	0.7	67	16	17	11	0.4
11523	79	10	11	11	0.65	74	11	15	11	0.2
11524	17	32	51	3	1.25	19	29	52	3	0.45
11525	42	36	22	9	1	41	34	25	9	0.37
11526	41	37	22	9	0.74	37	34	29	5	0.36
11527	41	37	22	9	0.74	37	34	29	5	0.36
11528	47	29	24	9	0.83	39	27	34	5	0.28
11529	48	28	24	9	0.83	41	25	34	5	0.4
11530	19	32	49	3	1.19	21	32	47	3	0.55
11531	41	37	22	9	0.74	37	34	29	5	0.36
11532	42	36	22	9	1	41	34	25	9	0.37
11533	47	29	24	9	0.83	39	27	34	5	0.28
11534	48	28	24	9	0.83	41	25	34	5	0.4
11535	19	32	49	3	1.19	21	32	47	3	0.55
11536	41	37	22	9	0.74	37	34	29	5	0.36
11537	42	36	22	9	1	41	34	25	9	0.37
11538	37	44	19	9	0.99	31	38	31	5	0.29
11539	45	36	19	9	1	39	34	27	5	0.47
11540	41	37	22	9	0.74	37	34	29	5	0.36
11541	37	44	19	9	0.99	31	38	31	5	0.29
11542	77	14	9	11	0.7	67	16	17	11	0.4
11543	19	32	49	3	1.19	21	32	47	3	0.55
11544	41	37	22	9	0.74	37	34	29	5	0.36
11545	47	29	24	9	0.83	39	27	34	5	0.28
11546	77	14	9	11	0.7	67	16	17	11	0.4
11547	37	40	23	9	1.07	36	36	28	5	0.37
11548	41	37	22	9	0.74	37	34	29	5	0.36
11549	47	29	24	9	0.83	39	27	34	5	0.28
11550	77	14	9	11	0.7	67	16	17	11	0.4
11551	48	28	24	9	0.83	41	25	34	5	0.4
11552	41	37	22	9	0.74	37	34	29	5	0.36
11553	37	44	19	9	0.99	31	38	31	5	0.29
11554	48	28	24	9	0.83	41	25	34	5	0.4
11555	42	36	22	9	1	41	34	25	9	0.37
11556	48	28	24	9	0.83	41	25	34	5	0.4
11557	41	37	22	9	0.74	37	34	29	5	0.36
11558	42	36	22	9	1	41	34	25	9	0.37
11559	37	44	19	9	2.13	-99	-99	-99	-99	-99
11560	52	24	24	10	1	43	21	36	5	0.43
11561	35	54	11	7	1.2	37	43	20	9	0.25
11562	48	28	24	9	0.83	41	25	34	5	0.4
11563	37	44	19	9	0.99	31	38	31	5	0.29
11564	41	37	22	9	0.74	37	34	29	5	0.36
11565	75	15	10	11	0.7	68	17	15	11	0.27
